SampleID	Cytokine	value	region
JT67	IL.1.beta	3.69	Plasma
KB32	IL.1.beta	8.95	Plasma
KC93	IL.1.beta	5.34	Plasma
KF04	IL.1.beta	11.18	Plasma
KI63	IL.1.beta	3.5	Plasma
KA87	IL.1.beta	3.55	Plasma
KC07	IL.1.beta	0.382921476203716	Plasma
JF27	IL.1.beta	1.64	Plasma
JF82	IL.1.beta	0.61	Plasma
JM03	IL.1.beta	0.540290889498894	Plasma
JN22	IL.1.beta	1.04	Plasma
JP70	IL.1.beta	0.562015667729909	Plasma
JT22	IL.1.beta	6.63	Plasma
JT94	IL.1.beta	26.63	Plasma
JI14	IL.1.beta	3.22	Plasma
JJ55	IL.1.beta	5.3	Plasma
CK62	IL.1.beta	4.46	Plasma
DD23	IL.1.beta	4.55	Plasma
EF54	IL.1.beta	0.529587792676125	Plasma
DF53	IL.1.beta	12.18	Plasma
CM82	IL.1.beta	5.34	Plasma
CR98	IL.1.beta	6.54	Plasma
DB57	IL.1.beta	5.52	Plasma
CE15	IL.1.beta	5.99	Plasma
DB59	IL.1.beta	12.74	Plasma
IK28	IL.1.beta	1.52	Plasma
EB25	IL.1.beta	2.23	Plasma
EA49	IL.1.beta	1.41	Plasma
EC72	IL.1.beta	6.29	Plasma
M148.d0	IL.1.beta	4.24	Plasma
P081.d0	IL.1.beta	6.08	Plasma
M148.d31	IL.1.beta	87.3	Plasma
P081.d31	IL.1.beta	19.46	Plasma
AH74.d48	IL.1.beta	8.74	Plasma
DI57.d48	IL.1.beta	10.57	Plasma
T657.d48	IL.1.beta	14.25	Plasma
P519.d48	IL.1.beta	2.88	Plasma
AH74.d0	IL.1.beta	3.55	Plasma
DI57.d0	IL.1.beta	13.74	Plasma
T657.d0	IL.1.beta	1.86	Plasma
P519.d0	IL.1.beta	4.86	Plasma
IA66.d0	IL.10	0.000413389006112973	Plasma
KF35.d0	IL.10	0.00379185585925327	Plasma
KG04.d0	IL.10	5.66301880429226e-05	Plasma
KG56.d0	IL.10	9.55295662445862e-05	Plasma
KT85.d0	IL.10	0.000483647468649326	Plasma
KV82.d0	IL.10	2.12680373195667e-05	Plasma
IA66.d35	IL.10	6.74679763667503e-06	Plasma
KF35.d35	IL.10	0.0190192187621728	Plasma
KG04.d35	IL.10	0.000214948489715105	Plasma
KG56.d35	IL.10	0.000291929296377801	Plasma
KT85.d35	IL.10	6.1590495162561e-06	Plasma
KV82.d35	IL.10	4.49619682709681e-07	Plasma
IA66.d125	IL.10	0.00180231315937224	Plasma
KF35.d97	IL.10	0.11	Plasma
KG04.d125	IL.10	2.94218623903011e-05	Plasma
KG56.d125	IL.10	2.46956806257731e-05	Plasma
KT85.d125	IL.10	6.70450504455743e-05	Plasma
KV82.d125	IL.10	2.97434758627342e-05	Plasma
IA66.10.mos	IL.10	0.00950511757738649	Plasma
KF35.10.mos	IL.10	0.0151986354556461	Plasma
KG04.10.mos	IL.10	0.0221869750208532	Plasma
KG56.10.mos	IL.10	0.015177490186995	Plasma
KT85.10.mos	IL.10	0.11	Plasma
KV82.10.mos	IL.10	3.14162739100951e-05	Plasma
MRN	IL.10	0.72	Plasma
M87	IL.10	1.76	Plasma
DF59	IL.10	6.65457273849058e-05	Plasma
DERX	IL.10	0.12	Plasma
JAL	IL.10	0.00346971646562422	Plasma
ZF36	IL.10	8.01999999999999	Plasma
M1522	IL.10	1.75	Plasma
A6V084	IL.10	0.94	Plasma
MA5	IL.10	1.51	Plasma
MLB	IL.10	12.31	Plasma
DECG	IL.10	0.000103508727735439	Plasma
M1520	IL.10	0.12	Plasma
ZE88	IL.10	1.73	Plasma
DF11	IL.10	0.00423964634422738	Plasma
M47	IL.10	9.24	Plasma
X35	IL.10	3.49992459563044e-06	Plasma
R32	IL.10	5.34	Plasma
T19	IL.10	1.72521777266825e-06	Plasma
PH0692	IL.10	0.000206478748687533	Plasma
Animal.99R1458	IL.10	5.53028877122958e-05	Plasma
Animal.98P009	IL.10	0.0239426078202031	Plasma
Animal.1087	IL.10	0.000888572914637923	Plasma
M1418	IL.10	5.38406215125725e-07	Plasma
RQ6713	IL.10	0.00469358593668487	Plasma
RQ6687	IL.10	0.03	Plasma
T75	IL.10	3.58	Plasma
X19	IL.10	0.00647626165556364	Plasma
T51	IL.10	0.74	Plasma
IA66.7.mos	IL.10	7.54191027421621e-05	Plasma
KF35.7.mos	IL.10	0.000112382053827438	Plasma
KG04.7.mos	IL.10	3.17644700575045e-05	Plasma
KG56.7.mos	IL.10	5.57714695518745e-06	Plasma
KT85.7.mos	IL.10	0.0016398241240976	Plasma
JL80	IL.10	1.44	Plasma
JT67	IL.10	0.00499896856189938	Plasma
KB32	IL.10	0.11	Plasma
KC93	IL.10	0.06	Plasma
KF04	IL.10	0.67	Plasma
KI63	IL.10	0.0138354426913161	Plasma
KA87	IL.10	6.17	Plasma
KC07	IL.10	0.000102062990793984	Plasma
JF27	IL.10	0.000193370488533244	Plasma
JF82	IL.10	0.00235343048623764	Plasma
JM03	IL.10	1.93299555202137e-05	Plasma
JN22	IL.10	0.03	Plasma
JP70	IL.10	0.0094292353660266	Plasma
JT22	IL.10	3.25	Plasma
JT94	IL.10	3.37	Plasma
JI14	IL.10	0.0155412392565339	Plasma
JJ55	IL.10	0.0188667483702549	Plasma
CK62	IL.10	0.0184995784197512	Plasma
DD23	IL.10	0.0275663327290739	Plasma
EF54	IL.10	6.60722113455092e-06	Plasma
DF53	IL.10	1.07	Plasma
CM82	IL.10	0.000419196700416678	Plasma
CR98	IL.10	0.00932955947549523	Plasma
DB57	IL.10	0.0102765896793882	Plasma
CE15	IL.10	0.0289994542361353	Plasma
DB59	IL.10	1.64	Plasma
IK28	IL.10	0.00411576629148467	Plasma
EB25	IL.10	0.00462080302305161	Plasma
EA49	IL.10	0.00071465842710811	Plasma
EC72	IL.10	0.023252585958798	Plasma
M148.d0	IL.10	0.0182876922265061	Plasma
P081.d0	IL.10	0.0268753587217688	Plasma
M148.d31	IL.10	11.74	Plasma
P081.d31	IL.10	1.94	Plasma
AH74.d48	IL.10	0.42	Plasma
DI57.d48	IL.10	3.75	Plasma
T657.d48	IL.10	9.21	Plasma
P519.d48	IL.10	1.69	Plasma
AH74.d0	IL.10	0.0118560940299672	Plasma
DI57.d0	IL.10	6.43	Plasma
T657.d0	IL.10	1.69	Plasma
P519.d0	IL.10	7.06	Plasma
IA66.d0	IL.12p70	1.76	Plasma
KF35.d0	IL.12p70	2.08	Plasma
KG04.d0	IL.12p70	1.02	Plasma
KG56.d0	IL.12p70	0.8	Plasma
KT85.d0	IL.12p70	0.94	Plasma
KV82.d0	IL.12p70	0.71	Plasma
IA66.d35	IL.12p70	2.55	Plasma
KF35.d35	IL.12p70	3.23	Plasma
KG04.d35	IL.12p70	0.98	Plasma
KG56.d35	IL.12p70	1.47	Plasma
KT85.d35	IL.12p70	1.57	Plasma
KV82.d35	IL.12p70	0.0660482250006704	Plasma
IA66.d125	IL.12p70	3.54	Plasma
KF35.d97	IL.12p70	4.23	Plasma
KG04.d125	IL.12p70	0.14	Plasma
KG56.d125	IL.12p70	0.130408863171145	Plasma
KT85.d125	IL.12p70	0.0709893198885885	Plasma
KV82.d125	IL.12p70	0.0804168982140596	Plasma
IA66.10.mos	IL.12p70	5.65	Plasma
KF35.10.mos	IL.12p70	3.4	Plasma
KG04.10.mos	IL.12p70	0.33	Plasma
KG56.10.mos	IL.12p70	0.0968596569228282	Plasma
KT85.10.mos	IL.12p70	0.21	Plasma
KV82.10.mos	IL.12p70	0.0234339428245884	Plasma
MRN	IL.12p70	3.54	Plasma
M87	IL.12p70	7.07	Plasma
DF59	IL.12p70	0.10661459236523	Plasma
DERX	IL.12p70	1.24	Plasma
JAL	IL.12p70	1.54	Plasma
ZF36	IL.12p70	26.72	Plasma
M1522	IL.12p70	0.0876447399194404	Plasma
A6V084	IL.12p70	20.98	Plasma
MA5	IL.12p70	6.34	Plasma
MLB	IL.12p70	44.11	Plasma
DECG	IL.12p70	0.121712494728225	Plasma
M1520	IL.12p70	2.14	Plasma
ZE88	IL.12p70	10.29	Plasma
DF11	IL.12p70	0.0564839660526431	Plasma
M47	IL.12p70	27.08	Plasma
X35	IL.12p70	0.0361271318531003	Plasma
R32	IL.12p70	13.69	Plasma
T19	IL.12p70	0.0236539151828551	Plasma
PH0692	IL.12p70	0.116402199806578	Plasma
Animal.99R1458	IL.12p70	0.0756161737402467	Plasma
Animal.98P009	IL.12p70	0.74	Plasma
Animal.1087	IL.12p70	0.0700417014144498	Plasma
M1418	IL.12p70	0.00789747015199733	Plasma
RQ6713	IL.12p70	0.0457867919786439	Plasma
RQ6687	IL.12p70	0.9	Plasma
T75	IL.12p70	8.9	Plasma
X19	IL.12p70	0.0886414762077486	Plasma
T51	IL.12p70	0.53	Plasma
IA66.7.mos	IL.12p70	5.93	Plasma
KF35.7.mos	IL.12p70	0.119330242108019	Plasma
